==============================================================
PEA-4139 检索 → 标准字段/父子级规范检查报告
==============================================================
源文件: PEA-4139 MSDS_CN 冠志 模板.docx
检出节数: 17
标准字段: 121/139 命中
父子级问题: 0 条
模板多余字段: 1 条

--- 标准字段逐项 (节 | 标准库父级 | 字段标签 | 状态) ---
  S9  | (节下)               | 相对蒸气密度           | ✓ 字段
  S9  | (节下)               | 密度               | ✓ 字段
  S9  | (节下)               | 水溶性              | ✓ 字段
  S9  | (节下)               | 表面张力             | ✓ 字段
  S9  | (节下)               | 辛醇/水分配系数对数值      | ✓ 字段
  S9  | (节下)               | 自燃温度             | ✓ 字段
  S9  | (节下)               | 引燃温度             | ✓ 字段
  S9  | (节下)               | 分解温度             | ✓ 字段
  S9  | (节下)               | 动力粘度             | ✓ 字段
  S9  | (节下)               | 爆炸特性             | ✓ 字段
  S9  | (节下)               | 粉尘爆炸级别           | ✓ 字段
  S9  | (节下)               | 固体含量             | ✓ 字段
  S9  | (节下)               | 其他信息             | ✓ 字段
  S10 | (节下)               | 化学稳定性            | ✓ 字段
  S10 | (节下)               | 危险分解产物           | ✓ 字段
  S10 | (节下)               | 可能的危害反应          | ✓ 字段
  S10 | (节下)               | 应避免的条件           | ✓ 字段
  S10 | (节下)               | 禁配物              | ✓ 字段
  S11 | (节下)               | 急性毒性             | ✓ 字段
  S11 | (节下)               | 主要皮肤刺激性          | ✓ 字段
  S11 | (节下)               | 主要眼睛刺激性          | ✓ 字段
  S11 | (节下)               | 致敏性              | ✓ 字段
  S11 | (节下)               | 致突变性             | ✓ 字段
  S11 | (节下)               | 致癌性              | ✓ 字段
  S11 | (节下)               | 生殖毒性             | ✓ 字段
  S11 | (节下)               | 特异性靶器官系统毒性       | ✓ 字段
  S11 | (节下)               | 吸入危险             | ✓ 字段
  S11 | (节下)               | 附加信息             | ✓ 字段
  S11 | 通栏说明               | 通栏说明             | ✓ note×2
  S11 | 通栏说明               | 说明1              | ✓ note×2
  S11 | 通栏说明               | 说明2              | ✓ note×2
  S12 | (节下)               | 生态毒性             | ✓ 字段
  S12 | (节下)               | 持久性和降解性          | ✓ 字段
  S12 | (节下)               | 其他不利的影响          | ✓ 字段
  S12 | 通栏说明               | 通栏说明             | ✓ note×2
  S12 | 通栏说明               | 说明1              | ✓ note×2
  S12 | 通栏说明               | 说明2              | ✓ note×2
  S13 | (节下)               | 处理方法             | ✓ 字段
  S14 | (节下)               | 公路和铁路运输          | ✓ 字段
  S14 | (节下)               | 海上运输             | ✓ 字段
  S14 | (节下)               | 空运               | ✓ 字段
  S14 | (节下)               | 用户特殊注意事项         | ✓ 字段
  S14 | 通栏说明               | 通栏说明             | ✗ 未检出
  S14 | 通栏说明               | 说明1              | ✗ 未检出
  S14 | 通栏说明               | 说明2              | ✗ 未检出
  S14 | 通栏说明               | 说明3              | ✗ 未检出
  S15 | (节下)               | 条例、规范与法律         | ✗ 未检出
  S15 | (节下)               | 符合下列法规要求         | ✓ 字段
  S16 | (节下)               | 其他信息             | ✓ note×1

--- 模板多余字段 (标准库未收录) ---
  ⚠ S15: 模板字段「其它的规定」(标准名=其它的规定) 不在标准库

--- 未检出项归类说明 ---
  S1 应急电话: 标准库扩展字段, 模板未收录 (真实缺失)
  S1 电子邮件: 标准库扩展字段, 模板未收录 (真实缺失)
  S2 标签有害成分: 模板未检出 (真实缺失或标准库扩展)
  S3 化学品名称（3）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 CAS编号（3）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 含量%（w/w）（3）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 化学品名称（4）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 CAS编号（4）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 含量%（w/w）（4）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 化学品名称（5）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 CAS编号（5）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S3 含量%（w/w）（5）: 标准库预留 5 成分槽, 模板仅 2 个成分
  S9 熔点/凝固点: 模板未检出 (真实缺失或标准库扩展)
  S14 通栏说明: 模板未检出 (真实缺失或标准库扩展)
  S14 说明1: 模板该节无通栏说明 note (标准库占位槽)
  S14 说明2: 模板该节无通栏说明 note (标准库占位槽)
  S14 说明3: 模板该节无通栏说明 note (标准库占位槽)
  S15 条例、规范与法律: 模板用「物质或混合物的相关安全、健康和环保法律法规」note 承载 (命名差异)
